id,Umur,Kelas Pekerjaan 2,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
70,61,9,238611,2,4,3,7,1,0,0,38,0
71,56,9,158752,6,14,2,14,1,0,0,50,0
72,45,9,146857,5,13,2,14,2,0,0,38,1
73,21,1,85733,5,10,1,1,1,0,0,40,0
74,37,9,134367,5,13,2,14,1,0,0,37,1
75,17,9,168807,3,6,1,7,2,0,0,25,0
76,18,9,211413,3,7,1,7,2,0,0,15,0
77,29,9,37359,5,13,2,9,2,102172000,0,40,1
78,24,9,263498,3,7,1,8,2,0,0,40,0
79,40,9,130571,3,9,1,7,1,0,0,40,0
80,74,9,172787,3,9,3,11,2,0,31948000,35,1
81,23,9,126346,2,5,1,7,1,0,0,30,0
82,51,9,299831,5,11,1,13,1,0,0,40,0
83,22,9,164922,3,9,2,7,2,0,0,40,0
84,32,9,235109,5,10,3,11,1,0,0,40,0
85,30,9,198091,3,9,1,8,2,0,0,44,0
86,41,7,222434,4,12,2,4,2,0,0,40,0
87,47,6,272182,5,10,1,11,2,0,0,40,0
88,37,8,129573,7,16,2,13,2,0,0,72,1
89,23,9,163665,3,9,1,14,1,0,0,32,0
90,28,6,229656,6,14,2,14,1,0,20790000,40,1
91,45,9,200363,5,11,3,14,1,0,0,44,0
92,32,9,180871,5,11,3,6,2,0,0,50,1
93,31,9,97933,5,10,1,11,1,0,0,40,0
94,28,9,251905,6,14,1,6,2,0,0,42,0
95,57,9,185072,5,10,1,11,1,0,0,40,0
96,49,9,252079,5,10,2,5,2,0,0,40,1
97,57,6,174132,6,14,2,13,1,0,27678000,40,1
98,52,6,140027,3,9,3,7,1,0,0,20,0
99,74,1,169303,3,9,2,1,2,94738000,0,6,0
100,19,7,176634,3,9,1,11,1,0,0,40,0
101,33,9,261511,3,9,2,8,2,0,0,40,0
102,38,5,107909,5,13,2,6,2,0,0,40,1
103,20,9,216811,5,10,1,6,1,0,0,40,0
104,18,9,240330,3,8,1,7,2,0,0,18,0
105,60,1,199947,3,9,2,1,2,0,0,32,0
106,61,9,194804,1,1,3,5,2,200816000,0,40,1
107,46,9,116635,5,13,3,13,1,0,0,36,0
108,41,8,57924,5,10,1,4,2,0,0,40,0
109,51,9,199995,2,5,2,8,2,0,0,50,1
110,23,9,167868,5,11,1,11,1,0,0,40,0
111,51,6,108435,3,9,2,8,2,0,0,40,0
112,58,9,201344,5,13,3,8,1,0,0,20,0
113,42,6,340148,5,10,2,11,1,0,0,40,0
114,62,9,24515,2,5,2,14,2,0,0,40,0
115,43,9,166740,5,10,3,11,2,0,0,48,0
116,39,9,57691,3,9,3,14,2,0,31612000,70,0
117,35,9,465507,3,9,2,9,2,0,0,40,0
118,34,9,215124,3,9,2,5,2,0,0,40,0
119,46,9,216292,3,9,2,6,2,0,0,45,0
120,33,9,369258,5,13,1,3,1,0,0,40,0
121,50,9,240989,1,2,2,12,2,0,0,40,0
122,47,6,216586,3,7,3,7,2,0,0,40,0
123,57,4,69905,3,9,2,7,1,210336000,0,40,1
124,20,9,228649,3,9,1,7,2,0,0,40,0
125,36,6,161132,5,10,1,4,2,0,0,56,0
126,40,4,237293,4,15,2,13,1,210336000,0,40,1
127,20,9,26842,5,10,1,9,1,30464000,0,40,0
128,30,9,427541,3,9,1,3,1,1399986000,0,40,1
129,36,8,187089,5,13,1,14,1,0,0,40,0
130,58,9,256274,3,9,3,11,1,0,0,40,0
131,34,9,299635,6,14,2,14,2,0,26628000,50,1
132,34,9,124827,5,11,1,5,2,0,0,40,0
133,17,9,242718,3,7,1,6,2,0,0,12,0
134,70,5,46577,5,13,3,12,1,0,0,6,0
135,56,9,201817,3,9,3,9,1,0,0,40,0
136,60,1,251572,3,9,3,1,2,0,0,35,0
137,63,9,264968,5,13,1,11,2,0,0,40,0
138,46,9,233493,3,9,2,9,2,0,22106000,40,0
139,42,9,123838,5,13,2,6,2,0,0,60,1
140,32,9,154950,5,13,2,6,2,0,27678000,44,1
141,24,4,162688,3,9,2,8,2,0,0,40,0
142,28,9,93235,5,10,1,6,2,0,0,40,0
143,21,1,195808,3,7,1,1,2,0,0,15,0
144,34,9,199934,5,10,2,9,2,102172000,0,40,1
145,33,9,176711,5,13,2,12,2,0,0,40,0
146,63,4,217715,1,3,1,6,1,0,0,3,0
147,45,6,375606,5,13,2,14,2,0,0,40,1
148,25,9,335376,4,12,1,11,1,0,0,38,0
149,55,5,182273,5,10,2,6,2,0,0,40,0
150,35,9,538583,3,7,3,5,2,0,0,40,0
151,90,1,166343,1,2,3,1,1,0,0,40,0
152,37,4,377798,5,10,3,8,2,0,0,50,0
153,26,9,343506,3,9,1,7,1,0,0,40,0
154,43,5,210013,5,10,1,14,2,0,0,50,1
155,38,9,200445,5,10,2,9,2,0,0,48,1
156,44,9,344060,5,13,1,13,2,389592000,0,40,1
157,53,6,169719,3,9,2,14,2,0,0,40,0
158,37,9,186934,6,14,2,6,2,0,0,50,1
159,27,5,217848,3,8,2,11,2,0,0,40,1
160,25,9,144478,5,10,1,7,2,0,0,40,0
161,44,9,228124,3,9,2,11,1,0,0,40,0
162,18,9,260977,3,8,1,6,1,0,0,20,0
163,25,9,137951,3,9,1,11,1,0,0,30,0
164,24,9,216181,5,11,1,9,2,0,0,40,0
165,46,9,212162,1,3,2,7,2,0,0,40,0
166,46,9,28074,5,10,2,8,2,0,0,89,1
167,40,9,210648,5,13,2,13,2,0,0,44,1
168,42,6,223548,6,14,1,13,2,0,0,40,0
169,48,9,182313,5,10,2,3,2,0,0,40,0
170,53,4,175456,5,10,2,12,2,0,0,30,0
171,90,9,171956,5,10,3,11,1,0,0,40,0
172,19,1,167428,5,10,1,1,2,0,0,40,0
173,47,6,174533,5,11,2,14,2,0,0,40,1
174,44,9,148138,7,16,2,14,2,210336000,0,40,1
175,27,9,94090,5,10,2,9,2,0,0,50,0
176,41,9,201981,3,9,3,8,2,0,0,40,0
177,53,9,312446,5,13,2,14,2,0,0,60,1
178,41,9,69333,3,9,2,8,2,0,0,45,1
179,26,9,239877,5,13,1,11,1,0,0,40,0
180,36,1,98776,5,10,1,1,2,0,0,30,0
181,31,9,279680,5,10,2,3,2,0,0,45,0
182,18,9,96445,5,10,1,7,1,0,0,24,0
183,31,9,236861,5,10,2,6,2,0,0,55,1
184,64,9,143110,5,13,3,13,1,0,0,30,0
185,29,9,183061,3,9,2,8,2,0,0,48,0
186,44,4,208277,3,9,2,9,1,0,0,45,0
187,25,9,224203,3,7,2,8,2,0,0,40,0
188,50,9,98350,5,10,2,11,2,0,0,40,1
189,28,9,309620,5,10,2,6,2,0,0,60,0
190,18,9,101173,3,9,1,14,1,0,0,35,0
191,31,9,161765,3,9,1,9,2,0,0,50,0
192,55,4,35340,5,10,2,8,2,0,0,50,0
193,27,9,193701,3,9,1,8,1,0,0,45,0
194,49,9,72393,2,5,3,9,1,0,0,40,0
195,47,9,67229,3,7,3,5,1,0,0,40,0
196,45,9,48271,5,10,2,11,1,0,0,40,1
197,33,9,157568,3,9,2,9,2,0,0,40,0
198,34,9,164190,5,13,2,14,2,0,0,40,0
199,32,9,355700,4,15,2,13,1,1399986000,0,60,1
200,43,9,34007,3,9,2,8,2,0,0,40,1
201,19,9,194260,5,10,1,6,1,0,0,20,0
202,32,9,53135,3,9,1,9,2,0,0,40,0
203,44,9,199031,5,10,3,5,2,0,19320000,40,0
204,33,6,120508,5,13,3,4,1,0,0,60,0
205,39,8,206190,3,9,1,14,1,0,0,45,0
206,37,9,117528,3,9,3,11,1,0,0,40,0
207,17,1,47407,3,7,1,1,2,0,0,10,0
208,56,8,130454,5,13,2,13,2,0,0,40,1
209,57,8,310320,5,13,2,10,2,0,0,48,1
210,36,9,29814,3,7,2,8,2,0,0,40,0
211,63,9,214071,3,6,2,3,2,0,0,40,0
212,26,9,165235,5,13,1,11,1,0,0,40,0
213,42,9,201505,6,14,1,6,2,0,0,65,0
214,59,9,179594,3,9,2,6,2,0,0,40,0
215,35,9,374524,4,15,2,13,2,0,0,75,1
216,20,9,237305,5,10,1,9,1,0,0,35,0
217,42,9,173938,5,13,2,7,2,0,0,40,0
218,57,7,68830,3,9,3,14,1,0,0,50,0
219,43,8,157237,6,14,2,13,2,0,0,40,1
220,33,9,171889,3,8,1,6,1,0,0,35,0
221,45,6,140644,5,13,3,4,2,0,0,40,1
222,29,9,261725,5,13,1,11,1,0,0,35,0
223,26,9,56929,5,13,1,14,2,0,0,50,0
224,45,9,184441,2,4,1,9,1,0,0,42,0
225,30,9,487330,5,10,2,9,2,0,0,30,0
226,62,9,223975,2,4,2,13,2,0,0,20,0
227,51,9,173987,2,5,2,6,2,0,0,40,0
228,22,9,199426,5,10,1,6,1,0,0,17,0
229,21,9,60552,3,9,1,11,1,0,0,40,0
230,31,9,224234,3,9,1,5,2,0,0,40,0
231,28,6,136643,6,14,1,13,1,0,0,50,0
232,39,9,190466,3,9,3,8,2,30436000,0,40,0
233,31,9,187560,3,9,1,11,2,30436000,0,40,0
234,35,9,273612,5,13,1,14,2,0,0,45,0
235,27,9,278736,3,8,1,3,2,0,0,40,0
236,18,5,29582,3,7,1,12,2,0,0,50,0
237,43,5,150533,5,11,2,14,2,0,0,50,1
238,31,9,147654,3,9,1,14,2,0,0,40,0
239,57,9,122562,3,6,2,5,2,0,0,60,1
240,24,9,354351,5,13,1,13,2,0,0,40,0
241,63,9,237620,3,9,2,8,2,0,0,30,0
242,30,6,154950,5,13,2,4,2,0,0,72,1
243,35,4,42044,4,12,2,8,2,0,0,40,0
244,44,4,35166,5,13,2,12,2,0,0,90,0
245,30,9,104223,3,9,1,7,1,0,0,32,0
246,29,9,334277,5,13,1,6,2,0,0,45,0
247,37,5,199816,4,15,2,13,2,0,0,50,1
248,29,4,144063,2,4,2,12,2,0,0,72,0
249,23,9,228230,5,10,2,6,1,0,0,47,0
250,36,6,185556,5,13,2,13,2,0,0,35,1
251,23,9,96748,5,13,1,5,2,0,0,40,0
252,24,9,44738,3,9,1,3,2,0,0,40,0
253,35,8,287658,5,10,2,4,2,0,0,40,1
254,21,9,457162,5,10,1,6,2,0,0,17,0
255,32,7,111363,4,15,2,13,2,0,0,75,1
256,34,9,113198,4,12,2,11,2,0,0,28,0
257,26,9,247025,5,10,1,3,2,0,0,40,0
258,35,9,162358,5,13,1,14,1,0,0,50,1
259,49,4,102308,4,15,2,13,2,210336000,0,35,1
260,34,9,167474,3,9,2,14,2,0,0,40,0
261,75,9,311184,5,13,2,14,2,0,0,24,0
262,47,8,192894,3,9,2,5,2,0,0,50,1
263,74,4,43599,3,9,3,7,2,0,0,20,0
264,68,9,159191,5,10,1,11,1,0,0,40,0
265,35,7,226789,6,14,2,13,2,0,0,75,0
266,52,9,177647,3,9,3,8,2,0,0,47,0
267,31,9,35864,5,13,1,6,2,0,0,60,0
268,18,9,131825,3,7,1,9,2,0,0,21,0
269,63,4,22228,3,9,2,7,2,0,0,40,1
270,33,9,295649,3,9,3,7,1,0,0,40,0
271,33,9,80945,3,9,2,9,2,0,0,40,0
272,41,6,103614,5,13,2,13,2,0,0,45,1
273,37,9,60313,3,9,1,8,2,0,0,40,0
274,34,9,179641,5,13,1,13,1,0,0,45,0
275,41,9,97632,5,10,3,6,1,0,0,32,0
276,41,9,311101,3,9,3,8,2,0,0,40,0
277,30,9,318912,5,13,1,7,2,0,0,55,0
278,41,9,384508,5,13,2,13,2,0,0,40,1
279,31,9,332379,2,4,1,8,2,0,0,40,0
280,35,9,106471,5,13,1,8,2,0,0,35,0
281,43,4,190044,3,9,2,6,2,0,0,40,0
282,22,9,203240,3,6,1,11,1,0,0,40,0
283,48,5,188694,7,16,2,14,2,0,0,40,1
284,52,9,201310,5,13,3,14,2,0,0,40,0
285,52,9,75839,5,10,2,10,2,0,0,40,0
286,39,9,174242,5,13,2,14,2,210336000,0,60,1
287,26,4,201930,3,9,2,8,2,0,0,50,0
288,18,9,170094,3,9,1,3,1,0,0,20,0
289,37,9,151835,4,15,2,6,2,0,0,45,1
290,55,9,227158,5,13,3,11,1,0,0,40,0
291,48,9,95244,5,10,3,7,1,0,0,35,0
292,37,9,73715,5,10,2,8,2,0,0,40,1
293,35,4,169426,4,12,2,8,2,0,0,40,0
294,24,9,174461,4,12,3,7,1,0,0,22,0
295,29,9,46987,3,9,1,11,1,0,0,55,0
296,31,6,80058,3,9,1,9,2,0,0,64,0
297,53,9,33304,5,10,2,5,2,0,0,40,1
298,45,9,178341,6,14,2,13,2,0,0,50,0
299,23,9,55215,5,13,1,6,2,0,0,55,0
300,41,9,152958,3,9,2,8,2,0,0,40,1
301,44,9,299197,5,10,1,5,2,0,0,45,0
302,38,4,41591,5,13,1,8,2,0,0,30,0
303,71,9,345339,5,11,2,9,2,0,0,28,0
304,49,9,91608,5,10,2,8,2,0,0,40,0
305,24,9,126613,3,7,1,7,1,0,0,20,0
306,36,9,120760,6,14,2,13,2,0,0,40,0
307,36,9,376455,5,11,3,8,2,0,0,38,0
308,36,9,186110,5,10,2,5,2,0,0,40,0
309,19,4,227310,5,10,1,7,1,0,0,25,0
310,76,9,203910,3,9,3,7,2,0,0,17,0
311,22,9,54825,3,9,1,6,2,0,0,40,0
312,19,6,223326,5,10,1,4,2,0,24094000,35,0
313,55,4,41938,5,13,2,13,1,0,0,8,0
314,61,1,203849,5,10,3,1,1,0,0,40,0
315,60,1,191118,3,9,2,1,2,0,25872000,40,1
316,24,9,199883,5,10,2,8,2,0,0,60,0
317,52,1,159755,5,11,2,1,2,0,0,50,1
318,43,7,206927,3,9,2,13,2,0,0,40,0
319,48,6,81154,5,11,1,4,2,0,0,48,0
320,38,9,239397,2,4,2,8,2,0,0,36,0
321,38,9,43770,5,10,3,7,1,65100000,0,72,0
322,32,9,241731,5,10,1,7,2,0,0,40,0
323,42,9,109501,1,3,3,3,1,0,0,40,0
324,35,9,189922,3,9,2,8,2,0,0,40,0
325,42,9,136986,3,9,2,14,2,0,0,35,1
326,38,6,185394,5,13,2,13,1,107632000,0,40,1
327,90,9,137018,3,9,1,7,1,0,0,40,0
328,55,5,392325,5,13,2,6,2,1399986000,0,60,1
329,26,9,34110,5,10,1,4,2,0,0,44,0
330,29,9,156266,4,12,1,14,2,0,0,25,0
331,42,9,33002,3,9,2,14,2,0,0,48,0
332,34,9,424988,2,5,2,8,2,0,0,40,0
333,18,4,296090,3,9,1,6,2,0,0,48,0
334,22,9,436798,5,10,2,10,2,0,0,40,0
335,25,9,288519,5,13,1,11,1,0,0,40,0
336,29,9,337953,3,9,2,6,2,0,0,40,1
337,19,9,91893,5,10,1,3,2,0,0,24,0
338,36,5,184456,5,13,1,10,2,389592000,0,55,1
339,40,9,180985,6,14,2,14,2,0,0,50,1
340,33,9,166961,3,7,3,6,1,0,0,20,0
341,42,9,287129,5,13,3,13,2,0,0,40,0
342,30,6,181091,5,13,2,4,2,0,0,40,0
343,31,6,219883,3,9,1,4,2,0,0,40,0
344,43,9,188291,1,2,1,6,2,0,0,40,0
345,39,4,189922,3,9,2,14,2,0,0,60,1
346,21,1,436431,1,1,2,1,1,0,0,40,0
347,36,9,334291,5,10,2,8,2,0,26418000,40,1
348,49,9,187370,6,14,2,14,2,210336000,0,50,1
349,42,4,248876,5,10,3,8,2,0,0,55,0
350,58,9,268295,1,3,2,11,2,0,0,40,0
351,46,9,149218,5,13,2,6,2,0,0,40,1
352,39,9,202937,5,10,3,10,1,0,0,40,0
353,23,9,380544,5,10,2,11,2,0,0,40,1
354,33,9,148261,5,10,2,8,2,0,0,40,0
355,46,9,383384,3,9,2,13,2,0,0,40,0
356,46,9,166003,3,7,2,9,2,0,0,40,0
357,28,9,88419,3,9,1,14,1,0,0,40,0
358,29,9,31659,5,10,1,8,2,30828000,0,45,0
359,60,9,114413,4,12,2,6,2,0,0,30,0
360,32,9,149531,3,9,1,9,2,0,0,40,0
361,62,9,183735,5,10,2,14,2,0,0,40,0
362,82,9,147729,1,3,3,7,2,0,0,20,0
363,38,9,107164,5,10,2,14,2,0,0,55,1
364,58,5,229116,4,15,3,13,2,0,0,70,1
365,30,1,121775,5,11,1,1,2,0,0,30,0
366,41,9,32121,3,9,2,9,2,0,0,40,1
367,39,9,90646,5,11,3,11,1,0,0,40,0
368,36,5,196554,3,9,2,8,2,0,0,46,1
369,48,9,108699,3,9,1,11,1,0,0,40,0
370,57,5,282913,3,9,2,6,2,0,0,40,0
371,55,9,119344,3,9,2,13,1,0,0,40,0
372,25,9,405281,5,10,1,8,2,0,0,40,0
373,47,9,374580,3,9,3,6,1,0,0,52,0
374,66,4,67765,3,7,3,14,1,0,0,84,1
375,35,9,147548,3,9,2,5,2,0,0,60,0
376,31,9,168961,3,9,2,8,2,0,0,40,0
377,50,9,92079,5,10,2,10,2,0,0,45,1
378,51,4,205100,6,14,2,13,1,0,0,30,1
379,52,9,196504,2,4,2,3,2,0,0,40,0
380,43,9,174575,5,10,3,11,2,0,0,45,0
381,39,9,355468,3,9,2,6,2,0,26418000,46,1
382,30,8,243233,5,10,2,15,2,0,0,48,1
383,41,9,70447,5,10,2,6,2,0,0,60,0
384,39,6,112284,6,14,3,13,1,0,0,40,0
385,41,9,138907,3,9,3,2,1,0,0,40,0
386,33,9,119422,3,9,2,14,2,0,0,40,0
387,20,1,189740,5,10,1,1,1,0,0,32,0
388,44,9,115323,6,14,2,14,2,0,0,40,1
389,53,7,281590,3,9,2,14,1,210336000,0,40,1
390,36,9,33157,5,10,2,14,2,0,0,50,1
391,35,9,190297,2,4,2,8,2,0,0,40,0
392,48,7,185859,5,13,2,14,2,0,0,38,1
393,41,9,90021,3,9,2,3,2,0,0,40,0
394,28,9,179949,3,9,3,5,1,0,0,20,0
395,73,4,161251,3,9,3,8,2,0,0,24,0
396,29,9,114801,5,10,2,14,2,0,0,40,0
397,43,9,265266,3,9,2,8,2,0,0,40,0
398,35,9,327435,5,10,3,13,1,0,0,45,1
399,38,6,201410,5,13,2,14,2,0,0,40,1
400,53,9,137192,5,13,3,14,2,0,0,50,0
401,56,9,145574,3,9,2,8,2,0,0,40,1
402,60,4,170114,2,5,2,12,2,0,23408000,84,0
403,61,9,210464,3,9,3,11,1,0,0,35,0
404,22,9,882849,5,13,1,7,2,0,0,35,0
405,72,9,138790,3,9,2,11,2,0,0,30,0
406,35,9,276552,3,9,3,8,2,0,0,40,0
407,57,9,214619,5,10,2,8,2,0,0,40,0
408,59,9,105592,5,10,2,14,2,0,0,12,0
409,44,6,145178,3,9,2,7,1,0,0,38,1
410,23,9,176262,5,11,1,11,1,0,0,36,0
411,66,9,350498,5,10,2,5,2,0,17612000,20,0
412,19,9,206599,5,10,1,11,1,0,0,16,0
413,37,9,52221,3,7,2,5,2,0,0,40,0
414,39,9,324231,3,9,3,9,1,0,0,40,0
415,33,9,184833,3,9,1,7,1,0,0,35,0
416,37,8,90881,5,10,3,14,2,120596000,0,55,1
417,29,9,304082,4,12,1,13,2,0,0,40,0
418,43,6,186995,3,9,3,4,1,0,0,40,0
419,38,8,161463,5,10,2,7,2,0,0,40,0
420,35,1,139854,4,12,2,1,2,0,0,15,0
421,31,4,234537,5,10,2,8,2,0,0,60,0
422,29,9,285657,5,10,2,8,2,0,0,45,0
423,46,6,111558,5,10,3,9,1,0,0,40,0
424,22,9,60668,5,10,1,8,2,0,0,40,0
425,18,9,260387,3,9,2,3,2,0,0,40,0
426,47,4,318593,3,9,2,14,2,0,0,25,0
427,75,9,187424,3,9,2,8,2,0,0,20,0
428,20,8,114365,3,9,1,11,1,0,0,40,0
429,43,9,247162,4,12,1,6,2,0,0,40,0
430,20,9,170091,5,10,1,7,1,0,0,35,0
431,23,9,436798,5,10,2,9,2,0,0,40,0
432,28,9,183639,5,13,1,11,2,0,0,21,0
433,31,9,339482,1,2,2,9,2,0,0,40,0
434,31,9,113667,3,9,1,6,1,0,0,25,0
435,22,9,401762,3,9,1,11,1,0,0,55,0
436,33,9,215288,3,7,1,3,2,0,0,40,0
437,21,1,152328,5,10,1,1,2,0,0,40,0
438,31,8,294870,4,12,2,8,2,0,0,40,0
439,19,1,220517,5,10,1,1,1,0,0,15,0
440,35,4,185621,5,13,1,13,1,0,0,40,0
441,41,7,355756,5,10,1,13,2,0,0,40,0
442,31,9,386299,5,10,1,11,1,0,0,40,0
443,35,9,194490,3,9,1,8,1,0,0,40,0
444,36,4,358373,5,13,1,13,1,0,0,30,0
445,51,9,241346,3,9,3,11,1,0,0,43,0
446,52,9,177487,3,9,2,7,2,0,0,40,0
447,50,9,44728,3,9,2,9,2,0,0,40,0
448,40,4,163512,1,3,2,8,2,0,0,8,0
449,46,5,321764,4,15,2,13,2,0,0,50,1
450,39,9,248694,3,9,1,8,2,0,0,60,0
451,31,9,111363,5,13,1,14,2,0,0,40,0
452,47,9,192793,7,16,2,13,2,0,0,40,1
453,31,9,159123,5,13,2,13,2,0,0,60,1
454,45,4,180680,3,7,2,8,2,0,0,35,0
455,28,4,212318,3,9,1,8,2,0,0,55,0
456,34,9,281852,3,9,1,5,2,0,0,80,0
457,27,9,212506,5,10,3,11,1,0,0,40,0
458,25,9,40512,5,13,1,13,2,51436000,0,30,0
459,35,9,40135,3,9,1,7,2,0,0,30,0
460,52,9,143953,5,13,2,13,2,0,26628000,40,1
461,64,9,102470,3,9,2,8,2,0,0,40,0
462,58,4,321171,3,9,2,3,2,0,0,40,0
463,42,5,96509,5,10,2,14,2,0,0,60,0
464,58,9,111385,3,9,1,8,2,0,0,40,0
465,42,1,195124,3,9,2,1,2,0,0,60,0
466,32,9,117779,3,9,1,5,1,0,0,35,0
467,21,9,226668,5,11,1,8,2,0,0,40,0
468,44,4,177851,4,15,2,13,2,0,0,60,0
469,35,9,129597,5,10,2,6,2,0,0,46,0
470,58,9,144092,6,14,2,13,2,0,0,35,1
471,36,9,132879,3,9,3,14,2,0,0,45,0
472,33,9,214635,3,9,2,7,2,0,0,36,0
473,55,9,176904,3,6,2,5,2,0,0,50,0
474,48,9,247895,5,13,2,14,2,0,0,40,1
475,22,1,377725,5,13,1,1,1,0,0,23,0
476,45,9,238567,5,13,2,14,2,0,0,40,1
477,28,5,114053,5,10,1,14,2,0,0,30,0
478,29,9,201454,5,10,1,11,1,0,0,40,0
479,52,9,99185,3,9,2,6,2,102172000,0,50,1
480,36,9,166289,3,9,1,11,1,0,0,40,0
481,34,5,207668,3,9,2,8,2,0,0,54,1
482,32,9,194141,3,9,3,9,2,0,0,50,0
483,38,9,182570,5,10,2,9,2,0,0,38,0
484,22,9,97212,3,9,1,7,1,0,0,15,0
485,66,7,132055,3,9,2,14,2,0,25550000,40,1
486,38,9,217926,3,9,2,8,2,0,0,40,0
487,42,4,165815,5,13,2,13,2,0,0,52,1
488,50,6,306985,6,14,2,11,1,0,33810000,50,1
489,27,6,66824,5,13,1,13,1,46550000,0,43,0
490,30,9,33124,3,9,3,12,1,0,0,14,0
491,58,9,146477,6,14,2,14,2,210336000,0,40,1
492,28,9,340408,5,10,3,8,2,0,0,46,0
493,30,9,200700,5,10,1,6,2,0,0,40,0
494,64,6,189634,5,10,3,14,2,0,0,50,0
495,35,9,66297,5,13,1,13,1,0,0,40,1
496,27,9,123116,5,10,2,8,2,0,28798000,49,0
497,62,1,72486,3,9,2,1,2,0,0,24,0
498,60,9,85995,6,14,2,11,2,0,0,50,1
499,34,9,405386,5,10,1,8,2,0,0,28,0
500,54,9,138944,3,9,2,6,2,0,0,44,0
501,43,9,108945,5,10,1,14,1,0,0,50,0
502,65,1,273569,3,9,3,1,2,0,0,40,0
503,17,9,63734,3,6,1,3,2,0,0,20,0
504,21,9,94826,1,3,1,8,2,0,0,40,0
