id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu
36134,30,6,164493,5,10,1,11,1,0,0,10
36135,30,6,31171,5,10,1,8,2,0,22260000,40
36136,45,6,331482,4,12,3,10,2,0,0,40
36137,27,9,266973,3,9,2,8,2,0,0,60
36138,68,9,182574,5,10,3,11,1,13874000,0,29
36139,30,9,166961,5,13,1,13,1,0,0,37
36140,33,4,294434,5,11,2,12,2,0,0,76
36141,30,9,149726,5,13,2,10,2,107632000,0,40
36142,60,1,24215,3,6,3,1,1,0,0,10
36143,58,9,371064,3,9,2,12,2,0,0,20
36144,33,9,322873,3,9,3,6,1,0,0,50
36145,36,9,116608,3,9,1,11,1,68110000,0,40
36146,51,9,313146,3,9,2,9,2,0,0,40
36147,41,9,108713,3,6,1,6,1,0,0,40
36148,29,9,272715,3,6,3,7,1,0,0,30
36149,46,9,229394,3,9,3,14,1,0,0,40
36150,42,9,188465,3,9,3,7,1,0,0,25
36151,31,9,264936,5,10,1,7,1,0,0,40
36152,40,9,107433,5,13,2,14,2,0,27678000,50
36153,26,6,117833,5,13,1,13,1,68110000,0,35
36154,25,9,120238,3,7,2,5,2,72492000,0,40
36155,25,9,198632,5,10,2,6,2,0,0,50
36156,52,9,204226,3,9,3,6,2,0,0,45
36157,46,9,184632,5,11,2,8,2,0,0,50
36158,60,9,160625,5,10,3,8,2,0,0,47
36159,69,9,108196,5,13,2,5,2,0,0,25
36160,40,7,141858,4,15,2,13,2,0,0,72
36161,47,9,50092,5,13,3,14,2,0,15932000,40
36162,19,9,146679,5,10,1,14,2,0,0,30
36163,90,9,115306,6,14,1,14,1,0,0,40
36164,43,9,184018,4,12,2,13,2,0,0,50
36165,60,9,491214,3,9,3,6,1,0,0,30
36166,55,4,170350,3,9,3,7,1,0,0,40
36167,35,7,28738,5,13,1,11,1,57414000,0,40
36168,43,9,459342,3,9,3,11,1,0,0,40
36169,39,9,177140,3,9,3,11,2,0,0,40
36170,51,9,85942,5,10,3,6,1,0,0,32
36171,50,9,95435,2,4,2,5,2,0,22106000,65
36172,30,9,59496,5,10,2,5,2,0,0,40
36173,48,9,41504,3,9,2,5,2,0,0,40
36174,49,9,193366,6,14,2,14,2,0,0,65
36175,50,5,101094,6,14,2,6,2,0,0,55
36176,35,9,167482,5,13,2,14,2,0,0,60
36177,24,9,196280,5,13,1,6,1,0,0,30
36178,58,9,357788,3,9,2,8,2,0,0,40
36179,49,9,133969,7,16,2,13,2,0,0,50
36180,41,9,118001,3,7,1,9,2,0,0,40
36181,67,7,160158,5,10,2,12,2,0,0,8
36182,22,9,214542,5,10,1,11,2,0,0,40
36183,34,9,325658,3,9,2,5,2,0,0,40
36184,48,1,61985,2,5,3,1,1,0,0,20
36185,49,6,321851,4,12,3,11,1,0,0,30
36186,22,1,196943,5,10,3,1,2,0,0,25
36187,25,1,39901,5,13,2,1,2,0,0,60
36188,32,9,303942,3,9,2,9,2,0,0,40
36189,31,7,86143,3,9,1,4,2,0,0,40
36190,59,6,221417,3,9,2,4,2,0,0,40
36191,89,1,29106,3,6,2,1,2,0,0,20
36192,36,4,285020,3,9,2,8,2,40390000,0,40
36193,51,6,47415,4,12,2,11,1,0,22792000,30
36194,44,9,184105,4,12,2,6,2,61404000,0,40
36195,39,9,50700,3,9,2,13,2,0,0,40
36196,49,9,59380,5,10,2,11,1,0,0,40
36197,35,9,168322,3,7,2,12,2,0,0,40
36198,25,9,222539,3,6,1,5,2,36358000,0,50
36199,25,9,203871,5,11,2,13,1,0,26418000,40
36200,27,9,181916,5,10,1,9,2,0,0,40
36201,39,9,287306,5,10,3,11,1,0,0,40
36202,52,9,23780,5,11,2,14,2,0,27678000,45
36203,70,9,170428,5,13,3,13,1,0,0,20
36204,33,9,177083,5,13,1,13,1,0,0,40
36205,69,4,240562,4,15,2,13,2,1399986000,0,40
36206,31,6,393965,3,9,3,11,1,0,0,8
36207,57,9,120302,3,9,2,9,2,0,0,40
36208,62,6,114045,3,9,3,7,1,0,0,35
36209,34,9,111567,5,10,1,14,2,0,0,40
36210,29,9,178469,3,9,1,6,1,0,0,40
36211,25,7,81993,5,13,1,13,2,0,0,46
36212,35,9,116541,6,14,1,13,2,0,0,44
36213,52,6,317733,5,13,2,13,2,107632000,0,40
36214,75,9,104896,3,9,2,6,2,37142000,0,20
36215,57,4,79539,3,9,2,12,2,0,0,40
36216,24,9,135267,5,10,2,11,1,0,0,40
36217,52,9,146378,3,9,2,8,2,0,0,40
36218,32,6,199539,5,10,2,4,2,0,0,40
36219,40,9,222756,5,10,2,9,2,0,0,40
36220,50,9,178529,3,7,3,4,1,0,0,40
36221,35,5,187693,4,12,2,8,2,0,0,80
36222,38,6,194630,5,13,1,4,1,67018000,0,43
36223,17,9,144752,3,6,1,3,2,0,0,20
36224,52,6,187830,3,9,3,10,2,69076000,0,36
36225,41,4,178510,5,13,3,6,2,0,0,45
36226,28,9,291374,3,9,1,11,1,0,0,40
36227,19,9,278480,5,10,1,14,2,0,0,40
36228,39,9,160623,4,12,1,8,2,0,0,40
36229,50,9,170050,2,4,2,9,2,0,0,40
36230,48,8,72896,3,9,2,3,2,0,0,40
36231,48,9,164966,5,13,2,14,2,0,0,40
36232,19,9,306225,3,9,1,3,2,0,0,25
36233,19,9,163072,5,10,1,6,1,0,0,34
36234,50,4,156606,5,10,2,14,1,0,0,30
36235,48,9,159726,3,9,2,5,2,0,0,55
36236,42,9,46221,7,16,2,7,2,389592000,0,60
36237,29,9,144592,4,15,2,13,2,0,0,50
36238,60,9,156774,3,9,2,13,2,0,0,45
36239,36,9,239409,3,9,3,12,2,0,0,50
36240,34,8,198265,5,13,2,4,2,0,0,60
36241,19,9,43003,5,10,1,7,2,0,0,20
36242,39,9,203204,4,12,2,11,1,0,0,25
36243,47,9,162859,3,9,3,7,1,0,0,40
36244,17,9,132680,3,6,1,7,1,0,22428000,10
36245,27,4,115705,5,10,1,6,2,0,0,50
36246,48,9,185870,3,6,2,5,2,0,0,70
36247,65,9,217661,3,9,2,5,2,0,31444000,40
36248,27,9,131679,5,11,3,6,1,0,0,40
36249,31,9,155914,5,10,2,12,2,0,0,40
36250,27,9,209085,5,11,2,13,2,0,0,44
36251,36,8,47310,5,10,3,14,1,0,0,40
36252,19,9,291181,3,9,1,6,1,0,0,28
36253,41,1,217921,2,5,2,1,1,0,0,40
36254,44,9,190532,6,14,1,13,1,0,0,55
36255,18,9,242615,5,10,1,11,1,0,0,15
36256,25,9,139730,3,9,2,8,2,0,0,80
36257,35,9,176900,5,11,3,8,2,0,0,40
36258,18,5,378036,3,8,1,12,2,0,0,10
36259,44,9,157765,3,9,3,9,1,0,0,40
36260,54,9,153486,3,9,3,5,2,0,0,56
36261,54,5,52565,2,4,2,5,2,0,0,70
36262,33,9,236304,5,13,2,14,2,0,0,60
36263,60,9,106850,3,6,3,9,1,0,0,40
36264,49,6,98738,3,9,2,8,2,0,0,40
36265,61,8,136787,5,10,2,11,2,0,0,40
36266,62,1,378239,6,14,2,1,2,0,0,2
36267,59,9,96459,3,7,1,9,2,0,0,40
36268,43,4,101534,5,10,2,14,2,0,26628000,15
36269,38,9,103323,3,9,2,14,2,0,0,40
36270,47,9,185399,3,9,2,7,1,0,0,38
36271,38,9,252662,5,13,3,14,2,0,0,40
36272,90,9,149069,4,12,2,6,2,0,25550000,50
36273,50,9,120914,3,7,2,8,2,0,0,40
36274,68,9,225612,5,13,3,6,2,0,0,35
36275,79,1,142370,4,15,2,1,2,0,0,10
36276,43,7,157999,5,13,2,13,1,0,0,40
36277,17,9,236091,3,6,1,7,1,0,0,8
36278,34,9,192900,5,10,2,8,2,0,0,40
36279,26,9,181613,3,9,2,9,1,0,0,40
36280,59,9,192845,3,9,2,3,2,0,0,40
36281,39,9,215150,2,5,3,3,2,0,0,50
36282,19,1,218171,5,10,1,1,2,0,0,2
36283,47,9,140644,3,9,2,14,2,0,0,40
36284,23,9,176123,3,9,1,10,2,0,0,40
36285,68,9,191581,6,14,1,13,1,45822000,0,40
36286,80,9,202483,3,9,2,11,1,0,0,16
36287,64,1,169917,2,4,3,1,1,0,0,4
36288,40,9,200479,5,11,2,13,2,0,0,40
36289,44,5,320984,5,10,2,6,2,72492000,0,60
36290,32,9,509350,5,10,2,3,2,0,0,50
36291,44,9,13769,5,10,2,14,2,0,0,40
36292,35,6,742903,6,14,2,13,2,0,0,40
36293,29,9,131714,3,6,3,9,1,0,0,25
36294,72,9,74141,2,5,2,14,1,0,0,48
36295,29,9,296450,2,4,1,8,2,0,0,40
36296,42,8,272625,5,11,3,11,1,0,0,40
36297,47,9,340982,5,10,2,9,2,43442000,0,40
36298,41,9,150755,7,16,2,14,2,210336000,0,50
36299,58,1,178660,3,8,2,1,2,0,0,40
36300,43,9,198282,3,9,2,8,2,0,0,40
36301,40,4,154076,4,12,2,14,2,0,0,60
36302,46,6,167159,5,10,2,4,2,0,0,70
36303,37,9,185567,3,9,3,9,2,0,0,40
36304,32,4,35595,3,9,2,8,2,0,0,50
36305,42,9,176286,4,12,2,14,2,0,0,40
36306,20,9,69911,5,10,1,6,1,0,0,15
36307,43,9,182437,5,13,1,13,2,0,0,45
36308,29,9,370494,3,9,1,7,1,0,0,40
36309,31,9,395170,5,11,2,7,1,0,0,24
36310,56,9,65325,5,13,2,11,2,0,0,50
36311,18,9,54440,5,10,1,7,2,0,0,30
36312,32,9,94041,3,9,2,7,2,0,0,25
36313,50,6,173630,6,14,2,13,2,0,0,36
36314,44,9,152908,3,9,1,11,1,0,0,40
36315,51,4,145409,5,13,2,6,2,210336000,0,50
36316,34,9,179877,3,9,1,8,2,0,0,40
36317,32,4,181212,5,10,3,12,1,0,0,65
36318,43,6,180096,6,14,2,13,2,0,0,40
36319,60,6,141637,6,14,2,13,2,0,0,40
36320,46,6,274689,4,12,3,4,2,0,0,40
36321,33,9,178107,5,13,1,8,2,0,0,20
36322,63,9,135339,3,9,2,11,2,29470000,0,40
36323,27,6,273929,3,9,1,12,2,0,0,40
36324,35,9,222450,5,13,1,14,2,0,0,40
36325,42,9,111468,3,9,3,11,1,46550000,0,40
36326,71,4,143437,6,14,2,6,2,148470000,0,40
36327,24,9,229826,3,9,1,6,2,0,0,30
36328,28,9,215014,3,9,2,5,2,0,0,50
36329,37,9,113120,5,11,3,13,1,0,0,40
36330,31,9,347166,5,10,3,8,2,65100000,0,40
36331,21,7,142766,5,10,1,7,2,0,0,10
36332,42,9,211253,5,13,3,14,1,0,0,40
36333,41,9,266439,3,9,2,9,2,0,0,40
36334,19,9,340094,5,10,1,6,1,0,0,20
36335,20,9,214238,3,7,1,6,1,0,0,32
36336,68,9,211162,3,9,2,14,2,0,0,40
36337,34,9,141118,6,14,3,13,1,0,0,60
36338,40,9,92649,4,12,3,11,1,0,0,40
36339,20,9,215247,5,10,1,11,1,0,0,20
36340,29,6,152461,5,13,1,10,1,0,0,40
36341,19,1,129586,5,10,1,1,2,0,0,40
36342,40,5,137367,5,10,2,14,2,0,0,50
36343,52,8,165998,4,15,2,15,2,102172000,0,50
36344,38,9,194304,5,10,3,5,2,0,0,55
36345,22,9,179392,3,9,1,7,1,0,0,20
36346,41,9,205153,5,11,2,14,2,0,0,40
36347,37,9,222450,3,7,2,7,2,0,0,40
36348,26,9,305304,3,7,2,9,2,0,0,40
36349,35,9,110538,3,9,3,12,2,0,0,70
36350,58,7,110517,7,16,2,13,2,56896000,0,40
36351,25,9,123586,5,10,1,11,2,0,0,40
36352,45,9,122206,3,9,2,5,2,0,0,40
36353,27,6,131310,5,10,2,11,1,0,0,40
36354,32,9,127875,5,13,2,10,1,0,0,40
36355,46,6,216414,5,10,2,4,2,0,0,40
36356,33,9,147430,3,9,2,11,1,0,0,40
36357,23,9,250630,5,13,1,6,1,0,0,40
36358,21,9,155066,5,10,1,8,2,0,0,40
36359,45,9,246392,3,9,1,2,1,0,0,30
36360,64,9,183513,3,9,1,11,1,0,0,25
36361,29,9,169683,5,11,2,13,2,0,0,40
36362,56,9,197114,3,9,1,3,2,0,0,28
36363,20,9,280714,5,10,1,7,2,0,0,40
36364,59,9,188041,3,9,3,3,2,0,0,40
36365,41,9,280167,6,14,2,14,2,210336000,0,70
36366,60,9,131681,5,13,2,14,2,0,0,50
36367,45,9,140644,3,9,2,6,2,0,0,50
36368,35,9,146042,5,10,3,9,2,0,0,40
36369,34,9,143392,3,9,1,6,1,0,0,40
36370,27,9,184078,5,11,3,11,1,0,0,40
36371,21,1,205940,5,10,1,1,1,0,0,40
36372,39,9,146091,5,13,2,13,1,0,0,20
36373,38,9,131827,5,13,2,8,2,0,0,70
36374,37,9,105803,3,9,2,8,2,43442000,0,45
36375,42,4,53956,3,9,3,14,2,0,0,55
36376,25,9,159732,5,10,1,11,2,0,0,42
36377,46,9,55720,6,14,2,14,2,0,0,45
36378,28,7,90872,5,10,3,11,1,0,0,40
36379,39,1,240226,3,9,2,1,2,0,0,40
36380,29,9,217290,5,10,1,14,1,0,0,40
36381,46,5,283004,5,11,3,14,1,0,0,63
36382,32,4,455995,5,13,3,14,2,0,0,50
36383,18,1,151463,3,7,1,1,2,0,0,7
36384,18,9,188076,3,7,1,7,1,0,0,20
36385,37,9,89559,3,9,2,11,1,0,0,40
36386,30,9,296462,3,9,1,14,2,0,0,40
36387,56,8,156842,5,10,3,7,2,0,0,40
36388,32,9,207201,5,13,1,13,2,0,0,45
36389,25,9,169323,5,13,2,14,1,0,0,40
36390,73,9,173047,5,13,2,13,2,0,0,15
36391,43,9,193672,3,9,2,9,2,0,0,40
36392,33,9,268127,3,9,1,7,1,0,0,40
36393,22,9,197838,5,13,1,14,2,0,0,40
36394,47,9,316101,3,9,3,11,1,0,0,40
36395,23,9,97472,3,9,2,8,2,0,0,40
36396,60,9,241013,3,9,2,9,2,0,0,40
36397,54,9,307973,3,9,2,3,2,0,0,40
36398,22,9,31387,5,13,2,11,1,40390000,0,25
36399,33,6,246291,5,13,1,13,1,0,0,46
36400,38,9,218188,4,12,1,7,1,0,0,25
36401,31,4,144949,5,13,3,8,2,0,0,60
36402,18,1,221312,5,10,1,1,2,0,0,40
36403,26,9,50053,5,13,1,13,2,0,0,37
36404,19,9,204389,3,9,1,11,1,0,0,25
36405,66,9,366425,3,9,2,7,2,0,0,40
36406,58,9,197642,5,10,1,11,1,0,0,39
36407,18,9,309634,3,7,1,7,1,0,0,22
36408,28,9,195520,5,10,1,5,2,0,0,20
36409,39,8,257175,5,13,3,10,1,0,8750000,40
36410,30,9,391114,4,12,1,6,2,0,0,40
36411,31,6,162041,6,14,1,13,1,0,0,45
36412,46,4,525848,3,7,2,5,2,0,0,48
36413,30,9,381153,5,10,2,8,2,0,0,40
36414,58,9,140363,3,9,3,6,2,0,0,36
36415,20,9,403519,3,9,1,7,2,0,24066000,33
36416,44,9,183542,5,13,3,13,1,0,0,32
36417,33,9,181091,3,8,2,8,2,0,0,16
36418,29,4,125190,3,9,2,8,2,0,0,40
36419,30,9,375827,3,9,1,3,2,0,0,40
36420,34,9,242984,5,13,1,6,2,0,0,40
36421,42,4,34161,4,15,2,13,2,0,0,40
36422,39,9,191807,3,9,1,9,2,0,0,48
36423,43,9,274731,5,13,2,13,2,0,0,40
36424,22,7,149342,5,10,1,3,2,0,0,35
36425,51,9,197656,5,10,2,14,2,0,0,45
36426,20,9,172047,5,10,1,12,2,0,0,10
36427,28,9,211184,5,10,1,6,1,0,0,50
36428,33,5,206609,3,9,1,8,2,0,26264000,50
36429,34,9,271933,6,14,1,14,1,0,0,50
36430,29,9,107998,3,9,3,9,1,0,0,40
36431,31,9,36222,3,9,3,3,2,0,0,65
36432,37,4,255454,5,10,1,13,2,0,0,40
36433,42,9,214503,5,13,2,13,2,0,0,44
36434,21,9,90935,5,11,1,5,2,0,0,40
36435,34,4,29254,5,10,2,8,2,0,0,55
36436,32,9,31740,6,14,2,13,2,0,0,40
36437,66,1,115880,3,9,2,1,2,0,0,24
36438,31,5,103435,3,9,2,14,2,0,0,50
36439,24,6,289886,3,7,1,7,2,0,0,45
36440,40,9,145441,3,9,2,14,2,0,20790000,40
36441,26,9,243786,5,13,1,7,1,0,0,38
36442,44,9,152150,4,12,3,14,2,0,0,40
36443,36,9,200360,5,10,1,8,2,0,0,40
36444,45,9,192053,5,13,2,8,2,0,0,50
36445,37,9,200426,5,10,1,7,1,0,0,18
36446,56,9,102106,3,9,2,3,2,0,0,40
36447,55,9,84231,3,9,2,5,2,0,0,50
36448,68,4,69249,3,9,2,12,2,0,0,50
36449,56,9,143030,3,9,3,8,1,0,0,40
36450,50,8,237503,3,9,1,11,2,0,0,40
36451,42,9,240255,5,11,2,13,2,0,0,40
36452,30,9,213722,4,15,1,13,2,0,0,50
36453,23,9,320294,5,10,1,6,2,0,0,50
36454,35,9,66304,3,6,2,9,2,0,0,45
36455,42,9,113147,4,12,2,13,2,0,0,40
36456,37,9,175232,5,13,2,13,2,0,0,40
36457,27,9,370242,4,12,1,7,2,0,0,30
36458,34,6,205704,6,14,1,13,2,0,0,35
36459,40,9,187294,3,9,2,14,2,0,0,40
36460,37,4,31095,5,11,2,12,2,0,0,60
36461,28,9,398220,1,3,1,8,2,0,0,40
36462,47,9,175958,4,15,2,6,2,0,0,45
36463,25,9,153932,3,7,2,8,2,36120000,0,30
36464,53,9,167651,3,9,2,8,2,0,0,40
36465,60,9,232337,2,4,3,9,2,0,0,40
36466,75,4,106873,3,7,3,6,2,0,0,40
36467,52,4,242341,2,4,2,8,2,0,0,40
36468,57,9,148315,3,9,2,6,2,0,0,30
36469,27,9,167536,3,9,2,3,2,0,0,40
36470,22,9,105592,4,12,1,5,2,0,0,45
36471,35,9,73471,3,9,2,3,2,0,0,40
36472,36,6,282602,5,11,3,11,1,0,0,40
36473,51,9,138852,3,9,2,7,2,102172000,0,40
36474,47,1,224108,3,9,3,1,1,0,0,40
36475,20,9,291979,3,9,2,6,2,0,0,20
36476,24,9,237262,5,10,1,11,1,0,0,35
36477,32,6,110100,5,11,3,13,1,0,0,40
36478,42,9,340234,3,9,2,10,2,210336000,0,40
36479,26,4,331861,5,13,1,6,2,0,0,60
36480,17,1,48703,3,7,1,1,1,0,0,30
36481,49,9,230796,3,9,3,7,1,0,0,40
36482,35,1,124836,5,10,3,1,1,0,0,36
36483,55,9,182460,3,9,2,8,2,210336000,0,35
36484,47,9,145041,3,9,2,9,2,0,0,40
36485,39,9,24106,5,10,2,6,2,0,0,40
36486,48,9,36228,3,9,3,5,2,0,0,44
36487,47,9,379118,2,4,2,8,2,0,0,60
36488,51,9,54465,5,11,3,13,1,0,0,48
36489,61,1,394534,3,9,2,1,2,0,0,6
36490,26,9,227489,3,9,1,10,2,0,0,40
36491,30,9,169841,3,9,3,6,1,0,0,25
36492,46,9,276087,3,9,2,6,2,70182000,0,50
36493,49,9,60751,3,9,2,4,2,0,0,40
36494,45,9,45857,3,7,2,7,1,0,0,36
36495,28,9,499001,3,9,1,8,2,0,0,40
36496,23,9,169188,5,10,2,14,1,0,0,25
36497,24,9,198259,5,13,1,14,1,0,0,40
36498,31,9,273324,5,10,1,7,2,0,24094000,16
36499,34,9,228406,5,10,1,11,1,0,0,40
36500,42,9,143046,5,13,1,13,1,0,21896000,38
36501,56,9,122390,5,11,2,6,2,210336000,0,40
36502,48,9,425199,5,10,3,6,2,0,0,45
36503,20,9,37894,5,10,1,11,1,0,24066000,30
36504,23,9,289982,3,9,1,6,1,0,0,40
36505,33,9,132601,5,13,2,6,2,0,0,55
36506,48,9,336540,3,9,2,6,2,0,0,40
36507,41,7,518030,5,13,1,4,2,0,22260000,40
36508,55,9,173504,5,10,2,7,2,0,0,50
36509,21,1,211013,5,10,1,1,1,0,0,40
36510,41,9,202980,3,9,2,8,2,0,0,4
36511,51,7,250807,5,10,1,14,2,0,0,40
36512,47,9,368561,5,10,2,8,2,0,0,40
36513,21,9,240063,5,10,1,3,2,0,0,25
36514,39,9,124090,3,6,2,5,2,0,0,40
36515,49,9,184986,3,9,3,7,1,0,0,40
36516,21,9,73679,5,10,1,14,1,0,0,40
36517,55,9,135339,5,13,2,13,2,0,0,40
